"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"10316",5.24862566953947e-42,-1.48207531358802,0.278,0.427,9.67951545976469e-38,"ResA_1'","ENSG00000273702"
"10317",1.30374401365621e-58,-1.48209458821539,0.384,0.565,2.40436470998478e-54,"ResA_1'","ENSG00000075292"
"10318",4.49433927243114e-133,-1.48247924737192,0.187,0.482,8.2884604862175e-129,"ResA_1'","ENSG00000137055"
"10319",6.675266510942e-95,-1.48289755783668,0.38,0.612,1.23105264994792e-90,"ResA_1'","ENSG00000146676"
"10320",4.16242517155368e-112,-1.48308247532798,0.19,0.448,7.6763445013793e-108,"ResA_1'","ENSG00000081019"
"10321",2.05254445060205e-160,-1.48385535924012,0.15,0.471,3.78530247580029e-156,"ResA_1'","ENSG00000058600"
"10322",1.95516436302857e-75,-1.4840742490768,0.375,0.596,3.60571411829729e-71,"ResA_1'","ENSG00000232838"
"10323",2.27093560135981e-93,-1.48511176088986,0.307,0.549,4.18805943602777e-89,"ResA_1'","ENSG00000204619"
"10324",9.38749851900928e-75,-1.48512401831559,0.299,0.503,1.73124247687569e-70,"ResA_1'","ENSG00000152944"
"10325",7.7551927636851e-172,-1.4851925290651,0.12,0.437,1.43021264947881e-167,"ResA_1'","ENSG00000198824"
"10326",1.44729660183154e-169,-1.48558712091254,0.155,0.481,2.66910439309773e-165,"ResA_1'","ENSG00000136940"
"10327",3.62843614052164e-69,-1.48765297884397,0.324,0.514,6.69156193035002e-65,"ResA_1'","ENSG00000138381"
"10328",8.33385142882644e-165,-1.4884721510456,0.137,0.462,1.53692888050417e-160,"ResA_1'","ENSG00000235169"
"10329",1.78443165848648e-68,-1.48851039397905,0.488,0.682,3.29084886458077e-64,"ResA_1'","ENSG00000073584"
"10330",8.95706237229405e-84,-1.4897927256353,0.345,0.567,1.65186144269847e-79,"ResA_1'","ENSG00000070367"
"10331",1.56716016166012e-167,-1.49003196936371,0.085,0.381,2.8901567701336e-163,"ResA_1'","ENSG00000105136"
"10332",1.51606336077911e-96,-1.49049209639661,0.202,0.449,2.79592404994883e-92,"ResA_1'","ENSG00000167608"
"10333",3.809593524064e-58,-1.49078067704816,0.314,0.483,7.02565237707883e-54,"ResA_1'","ENSG00000113456"
"10334",3.83396343026386e-113,-1.49241375959046,0.246,0.52,7.07059535809262e-109,"ResA_1'","ENSG00000126070"
"10335",1.42837654423172e-68,-1.49305301095272,0.463,0.649,2.63421202287214e-64,"ResA_1'","ENSG00000011304"
"10336",2.2862462952138e-114,-1.4940450373005,0.252,0.527,4.21629541763329e-110,"ResA_1'","ENSG00000145332"
"10337",2.59654230363095e-113,-1.49483910300061,0.12,0.372,4.7885433163562e-109,"ResA_1'","ENSG00000005469"
"10338",1.91969005289611e-154,-1.49613357525629,0.109,0.405,3.54029239555101e-150,"ResA_1'","ENSG00000184545"
"10339",9.00606113468473e-80,-1.49641158656413,0.317,0.541,1.66089779445856e-75,"ResA_1'","ENSG00000157045"
"10340",5.49921379910887e-161,-1.49733520582464,0.2,0.527,1.01416500883166e-156,"ResA_1'","ENSG00000005156"
"10341",0.00334987969423836,-1.49822075386558,0.818,0.797,1,"ResA_1'","ENSG00000143537"
"10342",0.00934761200276477,-1.49823882539945,0.785,0.787,1,"ResA_1'","ENSG00000173436"
"10343",5.94865057391343e-160,-1.49828337046458,0.089,0.378,1.09705013884112e-155,"ResA_1'","ENSG00000069966"
"10344",1.17690382958101e-137,-1.49841926595251,0.265,0.574,2.17044604251329e-133,"ResA_1'","ENSG00000109445"
"10345",1.39231255309334e-49,-1.49842814340478,0.324,0.504,2.56770281041474e-45,"ResA_1'","ENSG00000101150"
"10346",1.54070187531938e-68,-1.49871531737339,0.233,0.437,2.841362398464e-64,"ResA_1'","ENSG00000198055"
"10347",3.97373355264121e-114,-1.49911959489689,0.164,0.424,7.32835941778092e-110,"ResA_1'","ENSG00000108443"
"10348",8.06232441303453e-94,-1.49917841914583,0.174,0.39,1.48685386825183e-89,"ResA_1'","ENSG00000128833"
"10349",7.36727882803145e-70,-1.49975576027886,0.405,0.587,1.35867356146556e-65,"ResA_1'","ENSG00000111596"
"10350",1.99203167474924e-108,-1.49983394753007,0.368,0.615,3.67370481457255e-104,"ResA_1'","ENSG00000237310"
"10351",3.17844640669042e-101,-1.49995541963,0.246,0.498,5.86169086321848e-97,"ResA_1'","ENSG00000154781"
"10352",9.71897282190776e-68,-1.50000525707368,0.326,0.517,1.79237296781623e-63,"ResA_1'","ENSG00000118482"
"10353",1.82738150251763e-109,-1.50224367849299,0.279,0.568,3.37005696694302e-105,"ResA_1'","ENSG00000082438"
"10354",1.12613370874326e-88,-1.50241532106252,0.257,0.49,2.07681578566433e-84,"ResA_1'","ENSG00000107175"
"10355",3.52664651920272e-122,-1.50256530851401,0.175,0.445,6.50384151071365e-118,"ResA_1'","ENSG00000101544"
"10356",1.05549599436986e-166,-1.50300104531451,0.131,0.446,1.9465457128169e-162,"ResA_1'","ENSG00000255153"
"10357",1.83464890805470e-182,-1.50316112819264,0.039,0.316,3.38345951623447e-178,"ResA_1'","ENSG00000169891"
"10358",1.91843339016022e-112,-1.50366283538587,0.308,0.58,3.53797485813348e-108,"ResA_1'","ENSG00000153561"
"10359",1.54323084040204e-155,-1.50413161733924,0.241,0.558,2.84602631586944e-151,"ResA_1'","ENSG00000122741"
"10360",2.07958218511203e-113,-1.50430951206524,0.202,0.477,3.83516546578361e-109,"ResA_1'","ENSG00000182795"
"10361",1.07835582401445e-117,-1.50501145976205,0.116,0.372,1.98870381064744e-113,"ResA_1'","ENSG00000134369"
"10362",4.72654736511468e-54,-1.50562110278676,0.255,0.427,8.71669865074449e-50,"ResA_1'","ENSG00000151929"
"10363",1.58060559795642e-93,-1.50605227360193,0.395,0.615,2.91495284375123e-89,"ResA_1'","ENSG00000143315"
"10364",8.42283926337618e-139,-1.506245949529,0.17,0.474,1.55334001695183e-134,"ResA_1'","ENSG00000070718"
"10365",7.88638331976574e-95,-1.50688054677149,0.387,0.622,1.4544068118312e-90,"ResA_1'","ENSG00000161999"
"10366",6.57766137494744e-80,-1.50727785608769,0.267,0.485,1.21305231076781e-75,"ResA_1'","ENSG00000197429"
"10367",2.4695988182186e-60,-1.5085179437756,0.447,0.626,4.55443414055874e-56,"ResA_1'","ENSG00000012061"
"10368",7.15961314670206e-77,-1.50947446228829,0.358,0.571,1.32037585651479e-72,"ResA_1'","ENSG00000165475"
"10369",1.82745045539455e-186,-1.50957456403155,0.171,0.522,3.37018412983863e-182,"ResA_1'","ENSG00000149311"
"10370",4.38998115779107e-151,-1.5097052014896,0.169,0.483,8.0960032511983e-147,"ResA_1'","ENSG00000147099"
"10371",1.26346901318362e-143,-1.50984286994075,0.272,0.58,2.33008955411323e-139,"ResA_1'","ENSG00000141425"
"10372",4.42105768156321e-112,-1.51067110244049,0.286,0.559,8.15331457633888e-108,"ResA_1'","ENSG00000107651"
"10373",2.58561855989674e-44,-1.51142098655783,0.251,0.413,4.76839774816156e-40,"ResA_1'","ENSG00000172534"
